# Constructed from biom file
#OTU ID	Human	Mock	Mouse	Soil
ee8d14c5b7d683cfeac781cdf96f45e2	0.0	0.0	0.0	43.0
236c8c20456961752603ef41009ad067	24.0	0.0	0.0	16.0
9ee6be1f2588ca01c0b11ea23c119295	0.0	0.0	38.0	0.0
1d6c6d4c8d9a2de3e2a5c7a31263bd54	37.0	0.0	0.0	0.0
ba754b118ec945e580c534713030fc20	31.0	6.0	0.0	0.0
3c8ca6e824b5baf96327e26301518504	0.0	0.0	36.0	0.0
2e06a067fccf63f1d5153d4632fe1d2d	20.0	0.0	0.0	14.0
40a44d4aed15ec19fea4900a02441fd7	33.0	0.0	0.0	0.0
274a1afd5735c9de106c70db6671b0af	0.0	0.0	0.0	31.0
6f14fede78734b146bd23062e4986127	28.0	0.0	0.0	0.0
23a158b174d4bf8bb24cb74ae986119a	0.0	0.0	0.0	28.0
8df03c5a0d14d64bcb086f40a30a08b8	26.0	0.0	0.0	0.0
a411b876501c91e61af0057bdd143b5a	23.0	0.0	0.0	0.0
45d17fa243701e58a789f5be747ee94c	22.0	0.0	0.0	0.0
8e8781cc6a5b3955bcc8a67dabc5cd8f	0.0	0.0	0.0	21.0
0ed793e6170c81818f872e6d80135329	0.0	0.0	0.0	21.0
43d7069fd0eb15cc9e58d3ce91569efe	20.0	0.0	0.0	0.0
a740766b94e0713cc2dca04f94ca4ecc	0.0	20.0	0.0	0.0
eb3a16ff290c0b4c6258108a5708086b	0.0	0.0	0.0	20.0
0d00a6b5fa338b5ac42ad3581f74c4ec	0.0	0.0	18.0	0.0
12e39a248e43d4eede6e7640c2f9848f	17.0	0.0	0.0	0.0
d6ac46ea9a39a030244538da8eadcdb2	17.0	0.0	0.0	0.0
9f5e2a83123e93b43b793a45673aa9ee	0.0	0.0	17.0	0.0
7ca8f4c5fe0a6686c88ba78fc296f35d	16.0	0.0	0.0	0.0
8df26890b28da19367c53c9b79369748	16.0	0.0	0.0	0.0
29a7ae2ba52ed14da34cde8145603de1	16.0	0.0	0.0	0.0
ec3abdefb3922a28cbf17677c2f90af6	16.0	0.0	0.0	0.0
37cd8b3257d191eb97ec725603da62ff	0.0	0.0	16.0	0.0
fe54ed538b94ba4fc05948edfbcdf6c5	15.0	0.0	0.0	0.0
55034283247e0dd1d272b51d7aaee66f	0.0	0.0	0.0	15.0
8a36365b4d15c32b79e74e24fd26c4e8	14.0	0.0	0.0	0.0
d4710e9e7613fd338014a1d4b5da6804	14.0	0.0	0.0	0.0
eea2d7ef697acad7399c789598e775ba	14.0	0.0	0.0	0.0
39a4d4afcf0909bcc74e52da5fcf4b46	14.0	0.0	0.0	0.0
096ce8a7b141289c2055eaa207088816	14.0	0.0	0.0	0.0
1741ad943015f16c365c9c675a3a0e89	0.0	0.0	0.0	14.0
60dd5d27008c902a2bebf1b7692cf991	13.0	0.0	0.0	0.0
ccb1f18b67946e9d998b3dfd21c3bf7a	13.0	0.0	0.0	0.0
25e07874e22ef3a19bb0ede1e1f8ea08	0.0	0.0	0.0	13.0
9492447f366dc0907b085ea30fe1bbbf	0.0	0.0	0.0	13.0
4be527423765c3b59626a20b9a12fce0	0.0	0.0	0.0	13.0
a0e105047336b266d26d196eca94b1ea	12.0	0.0	0.0	0.0
d6637ebc679755fb0f8cb2bdd5b387ca	0.0	0.0	0.0	12.0
2058ce1e8f95da4c86934d1f4a310c43	0.0	0.0	0.0	12.0
0ad89ca49995b178a04232da8e4346dc	11.0	0.0	0.0	0.0
61a45fc353a52384801b8a9ceb33a330	11.0	0.0	0.0	0.0
2259520ea2a0c16146c818904cb39646	11.0	0.0	0.0	0.0
d7a3621defdc1509ad04c6a2cd62f6b7	11.0	0.0	0.0	0.0
fbcdce6401664696e01a301f22d88975	0.0	0.0	0.0	11.0
15195d484a9f740c89bdb1f80e7a47b7	0.0	0.0	0.0	11.0
079aea1520629def0096df23e78c983a	10.0	0.0	0.0	0.0
393dd321dbaba38174dbc94892fab061	10.0	0.0	0.0	0.0
088ee126e072d2751070ad359b8cf099	10.0	0.0	0.0	0.0
a3c3a88180b2553c6e47fc4ac61625ac	10.0	0.0	0.0	0.0
cfc3b9b290c59229242620453d0b5e55	0.0	0.0	0.0	10.0
bacc064c1c08178edde1659adc46eaad	9.0	0.0	0.0	0.0
fb3bb3973fded22228cacbad0df1a054	0.0	0.0	9.0	0.0
56f073f9df9628a1481cbb3079266e41	0.0	0.0	0.0	9.0
78cb645f016d6700527b2d8db2fb40c5	8.0	0.0	0.0	0.0
